Name,AVG,OBP,SLG,OPS,wOBA,wRC+,PA,R,HR,RBI,SB,WAR,BABIP,BB%,K%,ISO
Ryne Nelson,1.0,1.0,1.0,2.0,,,1,1,0,1,0,,1.0,0.0,0.0,0.0
Brewer Hicklen,0.667,0.75,0.667,1.417,,,4,2,0,0,1,,1.0,0.25,0.25,0.0
Trey Lipscomb,0.5,0.5,0.5,1.0,,,4,1,0,0,0,,0.667,0.0,0.25,0.0
Rob Brantly,0.429,0.429,0.429,0.858,,,7,0,0,1,0,,0.5,0.0,0.143,0.0
Kevin Alcántara,0.364,0.417,0.364,0.781,,,12,2,0,1,1,,0.571,0.083,0.333,0.0
Tomás Nido,0.343,0.361,0.343,0.704,,,37,4,0,2,0,,0.48,0.0,0.27,0.0
Bryce Johnson,0.342,0.383,0.434,0.817,,,84,9,1,8,4,,0.446,0.036,0.226,0.092
Billy Cook,0.333,0.333,0.333,0.666,,,6,1,0,0,0,,0.4,0.0,0.167,0.0
Jonny DeLuca,0.333,0.356,0.456,0.812,,,59,5,0,4,6,,0.432,0.034,0.22,0.123
Petey Halpin,0.333,0.5,0.333,0.833,,,8,5,0,0,0,,0.5,0.25,0.25,0.0
Joey Loperfido,0.333,0.379,0.5,0.879,,,104,12,4,14,1,,0.431,0.038,0.26,0.167
Richie Palacios,0.333,0.396,0.452,0.848,,,48,10,1,3,4,,0.394,0.104,0.188,0.119
Aaron Judge,0.331,0.457,0.688,1.145,,,679,137,53,114,12,,0.376,0.183,0.236,0.357
Miguel Andujar,0.318,0.352,0.47,0.822,,,341,36,10,44,1,,0.348,0.05,0.144,0.152
Jonathan Aranda,0.316,0.393,0.489,0.882,,,422,56,14,59,0,,0.409,0.097,0.254,0.173
Manuel Margot,0.316,0.3,0.316,0.616,,,20,1,0,3,0,,0.429,0.0,0.3,0.0
Bo Bichette,0.311,0.357,0.483,0.84,,,628,78,18,94,4,,0.342,0.064,0.145,0.172
Jacob Wilson,0.311,0.355,0.444,0.799,,,523,62,13,63,5,,0.317,0.052,0.075,0.133
George Springer,0.309,0.399,0.56,0.959,,,586,106,32,84,18,,0.34,0.118,0.189,0.251
Carlos Cortes,0.309,0.323,0.543,0.866,,,99,11,4,14,0,,0.347,0.03,0.202,0.234
Drew Millas,0.306,0.358,0.449,0.807,,,55,6,0,7,2,,0.357,0.073,0.127,0.143
Romy Gonzalez,0.305,0.343,0.483,0.826,,,341,47,9,53,6,,0.378,0.053,0.238,0.178
Jeremy Peña,0.304,0.363,0.477,0.84,,,543,68,17,62,20,,0.345,0.064,0.171,0.173
Trea Turner,0.304,0.355,0.457,0.812,,,639,94,15,69,36,,0.35,0.067,0.167,0.153
Luke Keaschall,0.302,0.382,0.445,0.827,,,207,25,4,28,14,,0.34,0.092,0.14,0.143
Dominic Canzone,0.3,0.358,0.481,0.839,,,269,30,11,32,3,,0.354,0.074,0.219,0.181
Yandy Díaz,0.3,0.366,0.482,0.848,,,651,79,25,83,3,,0.318,0.088,0.141,0.182
Carter Jensen,0.3,0.391,0.55,0.941,,,69,12,3,13,0,,0.333,0.13,0.174,0.25
Daylen Lile,0.299,0.347,0.498,0.845,,,351,51,9,41,8,,0.336,0.06,0.16,0.199
Moisés Ballesteros,0.298,0.394,0.474,0.868,,,66,12,2,11,0,,0.349,0.136,0.182,0.176
Nico Hoerner,0.297,0.345,0.394,0.739,,,649,89,7,61,29,,0.313,0.06,0.076,0.097
Nate Eaton,0.296,0.348,0.383,0.731,,,90,16,1,4,9,,0.371,0.067,0.211,0.087
Jake Mangum,0.296,0.33,0.368,0.698,,,428,37,3,40,27,,0.345,0.044,0.15,0.072
Will Smith,0.296,0.404,0.497,0.901,,,436,64,17,61,2,,0.345,0.147,0.204,0.201
Bobby Witt Jr.,0.295,0.351,0.501,0.852,,,687,99,23,88,38,,0.334,0.071,0.182,0.206
Freddie Freeman,0.295,0.367,0.502,0.869,,,627,81,24,90,6,,0.342,0.096,0.204,0.207
Chandler Simpson,0.295,0.326,0.345,0.671,,,441,53,0,26,44,,0.327,0.045,0.098,0.05
Josh Naylor,0.295,0.353,0.462,0.815,,,604,81,20,92,30,,0.315,0.079,0.137,0.167
Vladimir Guerrero Jr.,0.292,0.381,0.467,0.848,,,680,96,23,84,6,,0.313,0.119,0.138,0.175
Luis Arraez,0.292,0.327,0.392,0.719,,,675,66,8,61,11,,0.289,0.05,0.031,0.1
Jakob Marsee,0.292,0.363,0.478,0.841,,,234,28,5,33,14,,0.357,0.094,0.205,0.186
Roman Anthony,0.292,0.396,0.463,0.859,,,303,48,8,32,4,,0.404,0.132,0.277,0.171
Jake Meyers,0.292,0.354,0.373,0.727,,,381,53,3,24,16,,0.353,0.081,0.176,0.081
Austin Wynns,0.291,0.321,0.544,0.865,,,110,13,6,21,0,,0.364,0.045,0.291,0.253
Nick Kurtz,0.29,0.383,0.619,1.002,,,489,90,36,86,2,,0.364,0.129,0.309,0.329
Ronald Acuña Jr.,0.29,0.417,0.518,0.935,,,412,74,21,42,9,,0.358,0.172,0.248,0.228
Geraldo Perdomo,0.29,0.389,0.462,0.851,,,720,98,20,100,27,,0.303,0.131,0.115,0.172
