Name,ERA,FIP,xFIP,WHIP,K/9,BB/9,HR/9,K%,BB%,BABIP,LOB%,WAR,IP,G,GS,W,L
Prelander Berroa,0.0,,,1.8,16.2,16.2,0.0,0.375,0.375,0.0,,,1.2,2,0,0,0
Blair Calvo,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1,0,0,0
Alex Claudio,0.0,,,6.0,0.0,0.0,0.0,0.0,0.0,0.667,,,0.1,1,0,0,0
Brandon Crawford,0.0,,,2.0,0.0,9.0,0.0,0.0,0.2,0.25,,,1.0,1,0,0,0
Tyler Cyr,0.0,,,0.6,10.8,0.0,0.0,0.333,0.0,0.167,,,1.2,2,0,0,0
Hagen Danner,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.1,1,0,0,0
Brandon Dixon,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1,0,0,0
Josh Donaldson,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1,0,0,0
Nate Eaton,0.0,,,2.0,9.0,0.0,0.0,0.2,0.0,0.4,,,1.0,1,0,0,0
Jose Espada,0.0,,,2.0,18.0,18.0,0.0,0.4,0.4,0.0,,,1.0,1,0,0,0
Shane Greene,0.0,,,1.33,9.0,6.0,0.0,0.25,0.167,0.2,,,3.0,2,0,0,0
Luis Guillorme,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.25,,,1.0,1,0,0,0
Yoendrys Gómez,0.0,,,0.5,18.0,0.0,0.0,0.5,0.0,0.143,,,2.0,1,0,0,0
Heath Hembree,0.0,,,0.75,13.5,6.75,0.0,0.5,0.25,0.0,,,1.1,1,0,0,0
Yonny Hernández,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.25,,,1.0,1,0,0,0
Daniel Hudson,0.0,,,1.67,15.0,9.0,0.0,0.357,0.214,0.182,,,3.0,3,0,0,0
Kyle Hurt,0.0,,,0.0,13.5,0.0,0.0,0.5,0.0,0.0,,,2.0,1,0,0,0
Alek Jacob,0.0,,,0.33,15.0,3.0,0.0,0.5,0.1,0.0,,,3.0,3,0,0,0
Ricky Karcher,0.0,,,1.0,0.0,9.0,0.0,0.0,0.25,0.0,,,1.0,1,0,0,0
Adam Kolarek,0.0,,,0.5,10.5,1.5,0.0,0.318,0.045,0.105,,,6.0,5,0,0,0
Jake Lamb,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.25,,,1.0,1,0,0,0
Jacob Latz,0.0,,,0.63,7.11,4.26,0.0,0.227,0.136,0.053,,,6.1,3,0,0,0
Josh Lester,0.0,,,2.0,9.0,9.0,0.0,0.2,0.2,0.25,,,1.0,1,0,0,0
Luke Little,0.0,,,1.35,16.2,5.4,0.0,0.4,0.133,0.208,,,6.2,7,0,0,0
James McCann,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.4,,,1.0,1,0,0,0
Easton McGee,0.0,,,0.3,2.7,1.35,0.0,0.091,0.045,0.048,,,6.2,1,1,0,0
Frankie Montas,0.0,,,2.25,6.75,6.75,0.0,0.143,0.143,0.333,,,1.1,1,0,1,0
Packy Naughton,0.0,,,0.6,9.0,1.8,0.0,0.294,0.059,0.125,,,5.0,4,0,0,0
Chris Owings,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.333,,,1.0,1,0,0,0
Brett Phillips,0.0,,,6.0,0.0,27.0,0.0,0.0,0.333,0.5,,,0.1,1,0,0,0
Konnor Pilkington,0.0,,,1.0,9.0,4.5,0.0,0.25,0.125,0.143,,,2.0,1,0,0,0
Tanner Rainey,0.0,,,2.0,9.0,9.0,0.0,0.2,0.2,0.25,,,1.0,1,0,0,0
Elvin Rodríguez,0.0,,,0.0,13.5,0.0,0.0,0.5,0.0,0.0,,,3.1,1,0,0,0
Ryder Ryan,0.0,,,1.0,18.0,9.0,0.0,0.5,0.25,0.0,,,1.0,1,0,0,0
Andrew Saalfrank,0.0,,,1.06,5.23,3.48,0.0,0.146,0.098,0.189,,,10.1,10,0,0,0
Jonathan Schoop,0.0,,,0.75,6.75,0.0,0.0,0.2,0.0,0.2,,,1.1,1,0,0,0
Rowdy Tellez,0.0,,,1.0,9.0,0.0,0.0,0.25,0.0,0.25,,,1.0,1,0,0,0
Edwin Uceta,0.0,,,0.67,9.0,6.0,0.0,0.273,0.182,0.0,,,3.0,1,0,0,0
Chris Vallimont,0.0,,,1.5,13.5,0.0,0.0,0.5,0.0,0.5,,,0.2,1,0,0,0
Anthony Veneziano,0.0,,,1.71,3.86,7.71,0.0,0.083,0.167,0.2,,,2.1,2,0,0,0
Thyago Vieira,0.0,,,0.33,6.0,3.0,0.0,0.2,0.1,0.0,,,3.0,2,0,0,1
David Villar,0.0,,,1.0,0.0,9.0,0.0,0.0,0.333,0.0,,,1.0,1,0,0,0
Luke Williams,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1,0,0,0
Seby Zavala,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.2,1,0,0,0
Jeffrey Springs,0.56,,,0.5,13.5,2.25,0.56,0.436,0.073,0.08,,,16.0,3,3,2,0
Miguel Díaz,0.64,,,0.93,10.29,3.21,0.0,0.296,0.093,0.163,,,14.0,12,3,1,0
Brock Stewart,0.65,,,1.08,12.69,3.58,0.33,0.358,0.101,0.196,,,27.2,28,0,2,0
Kody Funderburk,0.75,,,0.92,14.25,3.75,0.75,0.404,0.106,0.146,,,12.0,11,0,2,0
Chris Martin,1.05,,,1.03,8.06,1.4,0.35,0.231,0.04,0.237,,,51.1,55,0,4,1
Danny Young,1.08,,,1.08,11.88,2.16,0.0,0.314,0.057,0.233,,,8.1,8,0,0,0
Brusdar Graterol,1.2,,,0.97,6.42,1.6,0.4,0.187,0.047,0.221,,,67.1,68,1,4,2
Josh Hader,1.28,,,1.1,13.58,4.79,0.48,0.368,0.13,0.163,,,56.1,61,0,2,3
J.B. Bukauskas,1.29,,,1.29,9.0,3.86,0.0,0.233,0.1,0.231,,,7.0,6,0,0,0
Penn Murfee,1.29,,,1.07,10.29,6.43,0.64,0.276,0.172,0.109,,,14.0,16,0,1,2
Shawn Armstrong,1.38,,,0.9,9.35,1.9,0.35,0.261,0.053,0.188,,,52.0,39,6,1,0
