Name,AVG,OBP,SLG,OPS,wOBA,wRC+,PA,R,HR,RBI,SB,WAR,BABIP,BB%,K%,ISO
Daniel Susac,0.583,0.615,0.75,1.365,,,13,1,0,3,0,,0.636,0.077,0.077,0.167
Dalton Rushing,0.538,0.571,1.308,1.879,,,14,5,3,4,0,,0.571,0.0,0.214,0.77
Jorge Mateo,0.438,0.471,0.688,1.159,,,17,7,1,3,1,,0.6,0.059,0.294,0.25
Alex Call,0.417,0.563,0.583,1.146,,,16,4,0,1,0,,0.455,0.25,0.062,0.166
Chandler Simpson,0.407,0.435,0.475,0.91,,,64,9,0,4,7,,0.429,0.047,0.047,0.068
Braxton Fulford,0.4,0.4,1.0,1.4,,,5,2,1,2,0,,0.5,0.0,0.4,0.6
Andy Pages,0.397,0.433,0.698,1.131,,,67,9,5,20,2,,0.5,0.06,0.269,0.301
Dominic Smith,0.395,0.415,0.684,1.099,,,41,9,3,15,0,,0.4,0.049,0.146,0.289
Ildemaro Vargas,0.383,0.408,0.66,1.068,,,49,10,2,8,0,,0.421,0.041,0.143,0.277
Myles Straw,0.375,0.412,0.438,0.85,,,17,6,0,2,0,,0.4,0.059,0.059,0.063
Christian Vázquez,0.37,0.393,0.63,1.023,,,29,4,1,9,0,,0.45,0.034,0.207,0.26
Connor Wong,0.368,0.4,0.526,0.926,,,21,1,0,2,1,,0.467,0.0,0.19,0.158
Leody Taveras,0.367,0.472,0.467,0.939,,,37,4,0,8,0,,0.5,0.162,0.216,0.1
Yandy Díaz,0.365,0.452,0.556,1.008,,,73,9,3,15,1,,0.385,0.082,0.11,0.191
Joey Wiemer,0.364,0.462,0.606,1.068,,,39,9,2,4,0,,0.556,0.154,0.333,0.242
Ben Rice,0.362,0.5,0.745,1.245,,,62,15,4,13,1,,0.5,0.226,0.29,0.383
Miguel Rojas,0.357,0.406,0.429,0.835,,,32,3,0,1,0,,0.435,0.094,0.188,0.072
Javier Sanoja,0.357,0.372,0.429,0.801,,,43,1,0,7,2,,0.417,0.023,0.14,0.072
CJ Abrams,0.356,0.426,0.695,1.121,,,68,12,6,19,4,,0.341,0.088,0.147,0.339
Juan Soto,0.355,0.412,0.516,0.928,,,34,3,1,5,0,,0.417,0.088,0.176,0.161
Austin Hedges,0.35,0.391,0.45,0.841,,,23,5,0,2,0,,0.389,0.087,0.13,0.1
Jared Young,0.35,0.391,0.45,0.841,,,23,2,0,2,0,,0.389,0.087,0.13,0.1
Adrian Del Castillo,0.346,0.346,0.577,0.923,,,26,3,1,10,0,,0.444,0.0,0.269,0.231
Xavier Edwards,0.343,0.405,0.493,0.898,,,75,14,1,6,2,,0.386,0.093,0.12,0.15
Moisés Ballesteros,0.342,0.381,0.526,0.907,,,42,6,2,7,0,,0.393,0.071,0.214,0.184
Casey Schmitt,0.341,0.413,0.537,0.95,,,46,5,1,4,1,,0.481,0.043,0.283,0.196
Jeremiah Jackson,0.34,0.345,0.604,0.949,,,55,5,4,14,0,,0.368,0.0,0.218,0.264
Mauricio Dubón,0.339,0.379,0.532,0.911,,,66,11,2,11,0,,0.388,0.061,0.167,0.193
Wilyer Abreu,0.333,0.38,0.561,0.941,,,71,9,3,10,0,,0.396,0.07,0.211,0.228
Luis Arraez,0.333,0.364,0.417,0.781,,,67,6,0,6,2,,0.345,0.06,0.06,0.084
Luis Campusano,0.333,0.364,0.667,1.031,,,22,3,1,4,0,,0.462,0.045,0.318,0.334
Andrés Chaparro,0.333,0.429,0.5,0.929,,,7,1,0,0,0,,0.5,0.143,0.286,0.167
Kyle Farmer,0.333,0.286,0.5,0.786,,,7,1,0,3,0,,0.286,0.0,0.0,0.167
Tyler Heineman,0.333,0.4,0.333,0.733,,,20,3,0,0,0,,0.4,0.05,0.15,0.0
Kyle Higashioka,0.333,0.417,0.476,0.893,,,24,4,1,3,0,,0.429,0.125,0.25,0.143
Colt Keith,0.333,0.368,0.463,0.831,,,57,10,0,4,0,,0.439,0.053,0.228,0.13
Carson Kelly,0.333,0.455,0.467,0.922,,,55,7,1,7,0,,0.389,0.182,0.145,0.134
Jordan Lawlar,0.333,0.4,0.556,0.956,,,20,3,1,2,1,,0.455,0.05,0.3,0.223
Brandon Nimmo,0.333,0.395,0.551,0.946,,,76,11,3,9,1,,0.4,0.079,0.211,0.218
George Valera,0.333,0.333,0.667,1.0,,,6,0,0,1,0,,0.4,0.0,0.167,0.334
Jorbit Vivas,0.333,0.447,0.367,0.814,,,40,6,0,2,0,,0.37,0.1,0.1,0.034
Taylor Walls,0.333,0.391,0.381,0.772,,,26,5,0,2,2,,0.438,0.038,0.192,0.048
Weston Wilson,0.333,0.333,0.333,0.666,,,3,1,0,0,0,,0.5,0.0,0.333,0.0
Oneil Cruz,0.328,0.4,0.597,0.997,,,75,14,5,16,7,,0.436,0.093,0.307,0.269
Vladimir Guerrero Jr.,0.328,0.443,0.448,0.891,,,70,7,1,7,1,,0.353,0.157,0.086,0.12
Brice Turang,0.321,0.446,0.604,1.05,,,66,16,3,10,6,,0.4,0.182,0.227,0.283
Jordan Walker,0.319,0.373,0.71,1.083,,,75,15,8,15,2,,0.35,0.08,0.28,0.391
Otto Lopez,0.317,0.371,0.508,0.879,,,70,11,2,8,3,,0.353,0.071,0.157,0.191
Yordan Alvarez,0.317,0.475,0.7,1.175,,,80,13,6,16,1,,0.283,0.2,0.113,0.383
Adam Frazier,0.316,0.48,0.368,0.848,,,26,6,0,2,0,,0.462,0.231,0.231,0.052
Austin Martin,0.316,0.5,0.447,0.947,,,52,9,1,3,2,,0.379,0.231,0.154,0.131
Jo Adell,0.315,0.351,0.411,0.762,,,77,8,2,8,1,,0.362,0.013,0.169,0.096
Edouard Julien,0.314,0.385,0.429,0.814,,,39,5,1,5,2,,0.4,0.103,0.231,0.115
Liam Hicks,0.314,0.362,0.51,0.872,,,58,10,3,16,1,,0.283,0.052,0.069,0.196
Christian Yelich,0.314,0.375,0.451,0.826,,,56,10,1,10,3,,0.417,0.089,0.25,0.137
Christian Walker,0.313,0.389,0.594,0.983,,,72,12,4,15,0,,0.327,0.111,0.153,0.281
Corbin Carroll,0.311,0.394,0.607,1.001,,,71,12,2,11,1,,0.405,0.127,0.254,0.296
Kevin McGonigle,0.311,0.417,0.492,0.909,,,72,12,1,8,1,,0.346,0.153,0.111,0.181
Drake Baldwin,0.311,0.378,0.554,0.932,,,82,18,5,18,0,,0.321,0.073,0.159,0.243
Sal Stewart,0.31,0.431,0.638,1.069,,,72,11,5,11,3,,0.31,0.181,0.167,0.328
Kyle Isbel,0.308,0.386,0.487,0.873,,,46,6,2,5,4,,0.385,0.087,0.239,0.179
José Tena,0.308,0.357,0.308,0.665,,,28,6,0,4,0,,0.4,0.036,0.214,0.0
Taylor Trammell,0.308,0.4,0.385,0.785,,,15,2,0,3,0,,0.571,0.133,0.4,0.077
Jose Fernandez,0.306,0.306,0.469,0.775,,,49,9,2,8,1,,0.382,0.0,0.265,0.163
Brandon Marsh,0.305,0.333,0.475,0.808,,,63,8,2,11,2,,0.364,0.048,0.222,0.17
Ryan O'Hearn,0.305,0.394,0.508,0.902,,,71,8,3,13,0,,0.319,0.141,0.155,0.203
Nick Fortes,0.304,0.333,0.457,0.79,,,48,4,1,7,0,,0.325,0.021,0.104,0.153
TJ Rumfield,0.304,0.365,0.464,0.829,,,63,6,2,8,0,,0.349,0.095,0.19,0.16
Ernie Clement,0.303,0.313,0.379,0.692,,,67,6,0,5,1,,0.317,0.015,0.045,0.076
Nico Hoerner,0.303,0.397,0.455,0.852,,,78,10,1,13,5,,0.333,0.115,0.115,0.152
Angel Martínez,0.302,0.362,0.491,0.853,,,59,8,2,9,4,,0.318,0.051,0.119,0.189
Max Muncy,0.302,0.343,0.508,0.851,,,67,12,2,5,1,,0.459,0.045,0.358,0.206
Taylor Ward,0.301,0.388,0.438,0.826,,,85,9,0,8,1,,0.386,0.118,0.2,0.137
Vaughn Grissom,0.3,0.462,0.3,0.762,,,14,2,0,0,0,,0.333,0.214,0.071,0.0
Ceddanne Rafaela,0.3,0.386,0.38,0.766,,,57,9,1,5,0,,0.359,0.053,0.175,0.08
Amed Rosario,0.3,0.333,0.6,0.933,,,33,2,2,6,0,,0.304,0.061,0.182,0.3
Willson Contreras,0.298,0.444,0.491,0.935,,,72,9,3,11,0,,0.4,0.153,0.264,0.193
Troy Johnston,0.298,0.34,0.489,0.829,,,51,6,2,7,0,,0.343,0.059,0.196,0.191
Miguel Andujar,0.297,0.35,0.432,0.782,,,40,4,0,2,1,,0.379,0.05,0.2,0.135
Shea Langeliers,0.297,0.348,0.563,0.911,,,69,10,5,10,0,,0.389,0.072,0.333,0.266
Tristan Gray,0.296,0.355,0.556,0.911,,,32,4,2,11,0,,0.353,0.062,0.281,0.26
Teoscar Hernández,0.296,0.339,0.519,0.858,,,59,10,3,11,1,,0.394,0.068,0.322,0.223
Luke Raley,0.296,0.356,0.556,0.912,,,59,6,3,10,0,,0.448,0.051,0.373,0.26
Matt Olson,0.296,0.375,0.592,0.967,,,80,14,4,12,0,,0.386,0.113,0.287,0.296
Daniel Schneemann,0.295,0.34,0.5,0.84,,,47,6,1,7,1,,0.4,0.064,0.277,0.205
Adley Rutschman,0.294,0.385,0.471,0.856,,,39,3,0,3,0,,0.357,0.128,0.154,0.177
Will Smith,0.294,0.39,0.431,0.821,,,59,8,2,8,0,,0.333,0.136,0.169,0.137
Edmundo Sosa,0.294,0.368,0.588,0.956,,,19,4,1,5,0,,0.286,0.105,0.105,0.294
Giancarlo Stanton,0.293,0.359,0.397,0.756,,,64,5,1,8,1,,0.41,0.094,0.281,0.104
Javier Báez,0.293,0.318,0.439,0.757,,,44,4,1,5,1,,0.344,0.023,0.205,0.146
Bryan Reynolds,0.292,0.382,0.477,0.859,,,76,13,3,12,1,,0.372,0.118,0.263,0.185
Carlos Cortes,0.292,0.393,0.5,0.893,,,28,3,1,5,0,,0.273,0.143,0.036,0.208
Brendan Donovan,0.292,0.417,0.542,0.959,,,60,6,3,6,1,,0.306,0.117,0.167,0.25
Joey Loperfido,0.292,0.364,0.396,0.76,,,55,7,0,5,1,,0.412,0.109,0.273,0.104
Jesús Sánchez,0.292,0.352,0.479,0.831,,,54,7,2,9,0,,0.333,0.056,0.204,0.187
William Contreras,0.291,0.4,0.473,0.873,,,65,9,2,10,0,,0.318,0.154,0.138,0.182
Ozzie Albies,0.29,0.342,0.435,0.777,,,76,12,3,7,0,,0.315,0.066,0.171,0.145
Ryan Jeffers,0.289,0.407,0.467,0.874,,,55,10,2,10,0,,0.344,0.145,0.2,0.178
Justin Crawford,0.288,0.351,0.404,0.755,,,57,7,0,1,1,,0.385,0.07,0.228,0.116
Jeff McNeil,0.288,0.339,0.346,0.685,,,56,5,0,3,1,,0.357,0.071,0.179,0.058
Carlos Correa,0.288,0.354,0.39,0.744,,,65,13,1,9,1,,0.327,0.092,0.138,0.102
